microwave,"an electromagnetic wave with a wavelength in the range 0.001–0.3 m, shorter than that of a normal radio wave but longer than those of infrared radiation. Microwaves are used in radar, in communications, and for heating in microwave ovens and in various industrial processes."
diameter,"a straight line passing from side to side through the center of a body or figure, especially a circle or sphere."
barometer,"an instrument measuring atmospheric pressure, used especially in forecasting the weather and determining altitude."
microscopic,so small as to be visible only with a microscope.
headphones,"a pair of earphones typically joined by a band placed over the head, for listening to audio signals such as music or speech."
microphone,"an instrument for converting sound waves into electrical energy variations, which may then be amplified, transmitted, or recorded."
autograph,something written or made with one's own hand. an original manuscript or work of art. b : a person's handwritten signature.
microchip,a very small piece of silicon inside a computer. a unit of packaged computer circuitry (usually called an integrated circuit) that is manufactured from a material such as silicon at a very small scale.
telegraph,"a system for transmitting messages from a distance along a wire, especially one creating signals by making and breaking an electrical connection."
perimeter,the continuous line forming the boundary of a closed geometric figure. the outer edge of an area of land or the border around it: 2 . the length of the outer edge of a shape.
paragraph,"a distinct section of a piece of writing, usually dealing with a single theme and indicated by a new line, indentation, or numbering."
phonics,a method of teaching people to read by correlating sounds with letters or groups of letters in an alphabetic writing system.
symphony,"an elaborate musical composition for full orchestra, typically in four movements, at least one of which is traditionally in sonata form. a piece of music written to be played by an orchestra."
saxonphone,"a member of a family of metal wind instruments with a single-reed mouthpiece, used especially in jazz and dance music. a musical instrument that is played by blowing through a reed (= thin piece of wood), or this instrument generally."
periscopean,"an apparatus consisting of a tube attached to a set of mirrors or prisms, by which an observer (typically in a submerged submarine or behind a high obstacle) can see things that are otherwise out of sight. a long, vertical tube containing a set of mirrors that gives you a view of what is above you when you look through the bottom of the tube."
megaphone,"a large funnel-shaped device for amplifying and directing the voice.  a cone-shaped device that makes your voice louder when you speak into it, so that people can hear you although they are not near to you."
