borrow,take and use (something that belongs to someone else) with the intention of returning it.
bureaucrat,"an official in a government department, in particular one perceived as being concerned with procedural correctness at the expense of people's needs."
tamper,to interfere with something so as to damage or change it.
cynic,1. a person who believes that people are only interested in themselves and are not sincere: 2. aa person who believes that people are motivated purely by self-interest rather than acting for honorable or unselfish reasons.
cliche,a phrase or opinion that is overused and betrays a lack of original thought.
jutting,To extend outward or upward beyond the limits of the main body.
repercussion,"an unintended consequence occurring some time after an event or action, especially an unwelcome one."
melancholy,"a feeling of pensive sadness, typically with no obvious cause."
relevant,closely connected or appropriate to what is being done or considered.
tolerate,to put up with something
appalled,"filled with horror, disgust, fear, or dismay"
voracious,having a very eager approach to an activity.
novice,"beginer, a person new to or inexperienced in a field or situation."
diversity,the state or quality of being different or varied.
elevate,rise or lift up.
monument,"a statue, building, or other structure erected to commemorate a famous or notable person or event."
ancestor,a relative from long time ago.
ambitious,having or showing a strong desire and determination to succeed.
humble,Not proud or modest and simple. having or showing a modest or low estimate of one's own importance.
culture,the way of life for group of people.
endeavor,try hard to do or achieve something. an attempt to achieve a goal.
enlighten,"give (someone) spiritual knowledge or insight. inform, tell."
legacy,an amount of money or property left to someone in a will. gift.
inspect closely,scrutinize
frumpy,dressed in an unfashionabled way
to spin around ir twirl,swivel
thespain,an actor
vanishing quickly,fleetly
careful thought,consideration
saunter,walk slowely
